"","taxa","myc"
"444","Alchornea_trewioides","AM"
"445","Alchornea_laxiflora","AM"
"446","Alchornea_floribunda","AM"
"447","Erismanthus_obliquus","AM"
"448","Syndyophyllum_occidentale","AM"
"449","Moultonianthus_leembruggianus","AM"
"450","Omphalea_trichotoma","AM"
"451","Omphalea_diandra","AM"
"452","Omphalea_brasiliensis","AM"
"453","Argythamnia_candicans","AM"
"454","Cladogelonium_madagascariense","AM"
"455","Hevea_brasiliensis","AM"
"456","Micrandropsis_scleroxylon","AM"
"457","Micrandra_spruceana","AM"
"458","Micrandra_minor","AM"
"459","Micrandra_inundata","AM"
"460","Manihot_caerulescens","AM"
"461","Manihot_dichotoma","AM"
"462","Manihot_compositifolia","AM"
"463","Manihot_salicifolia","AM"
"464","Manihot_gracilis","AM"
"465","Manihot_quinquepartita","AM"
"466","Manihot_brachyandra","AM"
"467","Manihot_maracasensis","AM"
"468","Manihot_leptophylla","AM"
"469","Manihot_brachyloba","AM"
"470","Manihot_baccata","AM"
"471","Manihot_glaziovii","AM"
"472","Manihot_guaranitica","AM"
"473","Manihot_epruinosa","AM"
"474","Manihot_carthagenensis","AM"
"475","Manihot_pseudoglaziovii","AM"
"476","Manihot_rubricaulis","AM"
"477","Manihot_aesculifolia","AM"
"478","Manihot_angustiloba","AM"
"479","Manihot_oaxacana","AM"
"480","Manihot_caudata","AM"
"481","Manihot_chlorosticta","AM"
"482","Manihot_tomatophylla","AM"
"483","Manihot_michaelis","AM"
"484","Manihot_subspicata","AM"
"485","Manihot_grahamii","AM"
"486","Manihot_hunzikeriana","AM"
"487","Manihot_violacea","AM"
"488","Manihot_zehntneri","AM"
"489","Manihot_pilosa","AM"
"490","Manihot_pentaphylla","AM"
"491","Manihot_esculenta","AM"
"492","Manihot_esculenta_subsp._esculenta","AM"
"493","Manihot_pruinosa","AM"
"494","Manihot_pusilla","AM"
"495","Manihot_esculenta_subsp._flabellifolia","AM"
"496","Manihot_surinamensis","AM"
"497","Manihot_flemingiana","AM"
"498","Manihot_esculenta_subsp._peruviana","AM"
"499","Manihot_sparsifolia","AM"
"500","Manihot_tristis","AM"
"501","Manihot_purpureocostata","AM"
"502","Manihot_triphylla","AM"
"503","Manihot_anomala","AM"
"504","Manihot_irwinii","AM"
"505","Manihot_alutacea","AM"
"506","Manihot_cecropiifolia","AM"
"507","Cnidoscolus_aconitifolius","AM"
"508","Elateriospermum_tapos","AM"
"509","Trigonostemon_thyrsoideus","AM"
"510","Trigonostemon_bonianus","AM"
"511","Trigonostemon_verrucosus","AM"
"512","Sagotia_racemosa","AM"
"513","Ophellantha_steyermarkii","AM"
"514","Ophellantha_spinosa","AM"
"515","Pausandra_martinii","AM"
"516","Dodecastigma_amazonicum","AM"
"517","Baliospermum_montanum","AM"
"518","Baliospermum_calycinum","AM"
"519","Blachia_siamensis","AM"
"520","Strophioblachia_fimbricalyx","AM"
"521","Ostodes_paniculata","AM"
"522","Ostodes_katharinae","AM"
